,book
226,30137492539
227,1329938320
228,30740123224
229,30694611592
230,22408985165
231,30197432915
232,30457658985
233,30652282012
234,30532009766
235,30740925296
236,22859119226
237,30435374169
238,30697302406
239,30646187673
240,30626768990
241,30716996565
242,30509889426
243,21050369474
244,40813675
245,30415047848
246,30637735652
247,30745968139
248,30509620097
249,30231736183
250,30357780594
251,30043939509
252,30523278020
253,633199459
254,30577492549
255,30137500277
256,30749640801
257,30690843618
258,30698085470
259,30728851749
260,30709066755
261,9393539240
262,30688895014
263,14871608608
264,30435106493
265,30739086975
266,17764494169
267,5064367118
268,25847721
269,20175045909
270,30029272789
271,30461486152
272,30699613723
273,19739115009
274,30659362866
275,30473471035
276,30694769362
277,22401195877
278,22843857327
279,30722927985
280,30486448234
281,30741543462
282,30725378274
283,30585401520
284,30715437196
285,30137503012
286,30711577499
287,1960367911
288,30573251856
289,30743477989
290,30196014724
291,30737293692
292,30704999104
293,4818056145
294,30723751050
295,30717417732
296,30725912905
297,30696231202
298,30272458924
299,30247698777
300,1302998503
301,30267959290
302,2795338714
303,21778647822
304,30137537842
305,30699234738
306,13775122406
307,1173875456
308,30152958171
309,30749579524
310,30723005572
311,59774732
312,30137481206
313,30549198023
314,30361293933
315,30367742933
316,30711004495
317,21815712871
318,10809012555
319,20255302976
320,19176555837
321,11484784088
322,30408501711
323,30665138860
324,30537882309
325,11230005921
326,30641107562
327,30612308762
328,1332186599
329,30219324066
330,30240773316
331,2808967626
332,16601861016
333,30627202852
334,30449762981
335,8287033199
336,30698862500
337,30443549242
338,30317299379
339,30220749798
340,30081841788
341,30211999832
342,30380185734
343,22786083983
344,30268660201
345,30728311263
346,30738770497
347,21303620300
348,30574893008
349,30137478272
350,30724605991
351,30697482032
352,30423330766
353,30455054143
354,1189096663
355,30709623518
356,17696362080
357,30747905988
358,30739507889
359,30623672915
360,30107584278
361,30695379950
362,30693780549
363,30666029271
364,9841085388
365,22870036444
366,30037646311
367,30734796063
368,30699617283
369,30739366106
370,10143453335
371,30388205260
372,20786306689
373,22655464749
374,30265140479
375,30697976951
376,30740102781
377,30037829003
378,30310719495
379,30610906983
380,17113280935
381,30737755197
382,22413833850
383,30740302761
384,30512664529
385,18881098334
386,30741076802
387,30610813171
388,30297674658
389,14461306502
390,30264707718
391,30265656701
392,30137568612
393,18354419443
394,30564861907
395,69200906
396,887444363
397,22446180899
398,30687840922
399,22665761599
400,30503773406
401,14387395892
402,30575183071
403,14760079735
404,30128892406
405,9129035422
406,1167839056
407,30268990770
408,30616155790
409,30271300060
410,30718318090
411,1276326196
412,30663647828
413,11672098347
414,30138198842
415,733629620
416,22832680654
417,30081968584
418,30508728017
419,30592961305
420,22505002886
421,22864299824
422,20901949556
423,30223640558
424,30737477296
425,4438884576
426,22903503869
427,30560226658
428,30265656702
429,30716039028
430,30608064210
431,30526715675
432,30697725272
433,22920435840
434,18059780116
435,30467346924
436,30429627216
437,30519370763
438,30739093721
439,30137524497
440,30720535119
441,30695691023
442,30492338849
443,2668030251
444,9393539241
445,30635726921
446,30536795653
447,13242169842
448,30699210314
449,30611095641
450,30631549724
451,30081528101
452,96728547
453,9994028217
454,30452707454
455,30331447564
456,30551096218
457,30575356422
458,30740332284
459,22561590994
460,30262334579
461,30645418748
462,30744590446
463,30519830708
464,19559446
465,30690941775
466,7195463142
467,30584465208
468,30632190818
469,30699596227
470,30336147779
471,20561629548
472,30560237127
473,3065816212
474,22665761594
475,30711911351
476,12989079999
477,30744100669
478,7204212085
479,20763549628
480,30315259206
481,30618449371
482,21838804627
483,30575376123
484,22903497230
485,30657354415
486,30327696752
487,20167376980
488,30127701519
489,30331824529
490,30350286961
491,22643675978
492,30739281775
493,208647507
494,30699636526
495,30718304854
496,401064106
497,30038764305
498,30699107842
499,30614464357
500,30444237425
501,30278214662
502,744381506
503,3486692753
504,30699607140
505,30739909979
506,30171796156
507,30688491824
508,30407664192
509,936183263
510,30603251266
511,22618053029
512,14781987053
513,22790827045
514,30718198751
515,30097124362
516,16933703021
517,30573253743
518,22912234499
519,30573818208
520,22844622385
521,30733482713
522,30708525922
523,30663995331
524,18592289238
525,30427437327
526,30738820534
527,30120915052
528,30451867865
529,30617153652
530,30279070323
531,30557455949
532,332500200
533,30644524153
534,22574614745
535,18817841822
536,988184408
537,22832596608
538,17224495014
539,30396297462
540,20836404026
541,8750025355
542,30035583277
543,372101494
544,30252606551
545,30731346808
546,30699465836
547,30665810940
548,22849748471
549,30548474487
550,30265798621
551,15214784236
552,30455557752
553,30517743453
554,30137470431
555,30697802744
556,14624563746
557,30733433437
558,17841460782
559,30699590849
560,30656595127
561,22414932296
562,30651729029
563,5467327846
564,30650143310
565,174123078
566,30231752057
567,30210813419
568,30359727277
569,1428828955
570,22396068331
571,30734269861
572,30708388698
573,21435012672
574,30264424954
575,30271636535
576,30619188959
577,21989645123
578,5709075622
579,30580856790
580,30727955385
581,30722925006
582,30109825679
583,30577466750
584,30739039039
585,10634213556
586,30724454461
587,22543314165
588,22413816038
589,6281847943
590,18356462011
591,30305435577
592,30734728448
593,30709735179
594,30697328697
595,30738960471
596,30699286058
597,30689007217
598,30046197905
599,30137477805
600,14094264197
601,30629068276
602,30731097466
603,30607332863
604,22862772844
605,30724603773
606,30230904477
607,30739713862
608,30728260211
609,30049240809
610,30688945248
611,30669033753
612,30650033577
613,30012150326
614,1157181464
615,30602639459
616,30264450895
617,30737581156
618,2845020490
619,30669039982
620,30343910155
621,22773182451
622,18584675456
623,22899483069
624,16426233795
625,30571085212
626,30282669014
627,8068292423
628,30310726915
629,941021824
630,30699460396
631,30740240668
632,1189938012
633,30465560756
634,13518434237
635,30306098271
636,30549457625
637,30698073958
638,1229370967
639,30341594685
640,30645261991
641,10345263742
642,22413529671
643,30740310873
644,30308963798
645,30337235707
646,30738963155
647,9126714053
648,30598692738
649,30643746337
650,30137482110
651,30713312479
652,242855190
653,30357111963
654,30734270760
655,30605454533
656,1958318699
657,1157901907
658,30330554660
659,30137479596
660,22420042428
661,30093652186
662,30704187229
663,12070838690
664,30699581663
665,30644930295
666,30575717889
667,30487942690
668,30660208730
669,30275929196
670,30282667972
671,22844627902
672,30280716015
673,3401872846
674,1271852724
675,30750290164
676,22485404304
677,30699607199
678,10107176741
679,20098125515
680,30176097287
681,30734675343
682,10634213567
683,947110148
684,22414932201
685,30733582226
686,30110390901
687,30042015887
688,30731166952
689,30743799149
690,30617590604
691,30114331307
692,30715374093
693,30643303028
694,60883878
695,30631305067
696,30737557303
697,30697854779
698,30604711648
699,30667320412
700,397777360
701,30310723061
702,30608592108
703,19084570205
704,18457810512
705,1042246748
706,1008300612
707,544738311
708,417289862
709,30666177659
710,316920310
711,30540334680
712,30137464447
713,30441745879
714,30709883822
715,14883183389
716,30731407417
717,30162330579
718,30605256010
719,30551329046
720,30217004123
721,30291741798
722,17116511336
723,30725407017
724,22848025857
725,30588909382
726,30747195415
727,14831130684
728,18310960596
729,22745556192
730,30699658999
731,30563827866
732,22903762228
733,30687490095
734,618303378
735,30162462378
736,30630089657
737,30752042137
738,30386094182
739,30731341707
740,30714634532
741,22020197117
742,30722054778
743,22727220399
744,30179160581
745,30584466073
746,30415063986
747,30507064040
748,30443504726
749,30456229492
750,30628477366
751,30216667091
752,30697579549
753,7049342152
754,30748028157
755,30737598825
756,30644182427
757,30716645061
758,30632090035
759,19554743349
760,30605374861
761,18914649994
762,30697821225
763,30739896116
764,30137473213
765,544088755
766,19058327481
767,30034628224
768,30661074755
769,30697385590
770,14782003164
771,30737382765
772,30690847647
773,401064296
774,30576275144
775,30266645941
776,30406242111
777,1020963208
778,30270302005
779,204909201
780,30650027921
781,30696513007
782,8689789262
783,30305787945
784,30014215773
785,30205422814
786,30300354284
787,30359715131
788,30457662678
789,30730221953
790,30688734352
791,30583574832
792,30266552600
793,30697395354
794,30172412570
795,30310726934
796,30137572140
797,3982214550
798,65620710
799,30223844943
800,30650031662
801,30210700862
802,30595274354
803,30334965305
804,30644603954
805,30699584829
806,30729683991
807,81958212
808,22392792244
809,30422098003
810,3608642811
811,30267796990
812,30598468844
813,22579404968
814,30137472012
815,1309179668
816,30327092146
817,30744579236
818,807199071
819,30577516135
820,30697669973
821,758566061
822,30210601584
823,30707192131
824,30743776479
825,7197157986
826,30137465364
827,30508753623
828,30137574958
829,30303392962
830,3205896145
831,30137499062
832,30137545936
833,30613790640
834,30743805448
835,22620324936
836,30623449786
837,30082118437
838,30139051885
839,15187076054
840,22649162019
841,72217938
842,22851285250
843,5537434218
844,30650044176
845,20538601532
846,30698084609
847,30738907487
848,30714210676
849,30029726828
850,30626980066
851,30624126421
852,30265297647
853,30734750885
854,5634516588
855,10990527575
856,30005418875
857,30583410323
858,1291114339
859,4666573473
860,30733118237
861,22660349164
862,30163567950
863,30662106251
864,30137474197
865,30436898962
866,30722962571
867,30239167897
868,30335456922
869,30660759432
870,30740018960
871,30210901893
872,30708994987
873,30664240926
874,30699282992
875,22381663271
876,8451604478
877,12419968416
878,22596630447
879,5467347098
880,21848684869
881,30255420066
882,30741152302
883,30323616542
884,30662306246
885,19574871268
886,13975773140
887,21839895179
888,30398768741
889,5709075621
890,30721282214
891,30697799943
892,30738657319
893,30496214371
894,30718099993
895,30080487732
896,30137480266
897,30419256332
898,30592234846
899,2954452664
900,30719433924
901,30434770218
902,30137592729
903,21578257415
904,22899601986
905,30739859784
906,30694826649
907,30718202130
908,30103571077
909,30584464273
910,30705401355
911,30748664923
912,30577421289
913,30739479439
914,30663607141
915,30303788662
916,30716886268
917,22812581449
918,1189031272
919,30739189760
920,1308467866
921,30621263646
922,30669019502
923,30663651446
924,22414932200
925,30266989674
926,30667005728
927,30665046726
928,1308458766
929,30210811471
930,30729075563
931,30326194729
932,30326985537
933,30117074783
934,30048438698
935,30599596234
936,14332901695
937,30748468633
938,30588992322
939,30137481197
940,30732531530
941,30333858914
942,22299303248
943,16611516310
944,30737329914
945,30707495609
946,30733198758
947,30697795338
948,30137474194
949,30606266938
950,30559377298
951,30279254168
952,30737561394
953,30702694325
954,30705676271
955,21348881529
956,22877828723
957,30434580952
958,12606323899
959,30575377469
960,30425046635
961,2992155501
962,22520788031
963,14913038423
964,30537995294
965,2826479
966,30301890227
967,30647105673
968,30686914541
969,30628547573
970,30625159988
971,30310713855
972,30702935616
973,30219171266
974,912915344
975,30080039525
976,30313195870
977,30665862953
978,30738493108
979,30732941584
980,30590031362
981,14781989509
982,30699290334
983,30742721254
984,30258273083
985,10141179516
986,30436824880
987,22594340305
988,30137470433
989,30575323379
990,11800510178
991,30710660721
992,22610147009
993,30595939810
994,30430211662
995,20543218067
996,30631467632
997,30726243328
998,30737525333
999,119929444
1000,30665833368
1001,16930900445
1002,30708949552
1003,30748023673
1004,30745957188
1005,30660923527
1006,22575766170
1007,1058066057
1008,30306579912
1009,30738347373
1010,30643297497
1011,1031685420
1012,30738248497
1013,30367514525
1014,918921099
1015,30538818571
1016,30657037242
1017,30737245358
1018,30082148548
1019,30699604781
1020,30706933760
1021,65853181
1022,1978280450
1023,30708708616
1024,30733344749
1025,275352520
1026,30692362401
1027,1046762509
1028,19593306436
1029,30718682962
1030,30556399073
1031,30523186646
1032,30734217513
1033,30012305301
1034,30743257139
1035,30746033606
1036,30137491647
1037,30266523672
1038,30191207695
1039,720184571
1040,30683695026
1041,30266563989
1042,22523931843
1043,30137461622
1044,30698067646
1045,30514017249
1046,30424441940
1047,30332224873
1048,30617865091
1049,30692770710
1050,837170227
1051,30630537430
1052,30603312370
1053,6929475639
1054,30738824911
1055,30313259468
1056,30621579656
1057,18273784288
1058,30422007325
1059,1971730398
1060,30698782892
1061,30259412450
1062,30733069823
1063,18217724726
1064,10390215385
1065,21662450135
1066,22890297791
1067,30642614296
1068,30692377212
1069,22505124632
1070,30696156597
1071,22408988278
1072,30699868421
1073,30429723787
1074,22582318092
1075,27059037
1076,30719364395
1077,30175024279
1078,2795338710
1079,30699045077
1080,18369566244
1081,30220057175
1082,30032906202
1083,10253443391
1084,30543697288
1085,30667085532
1086,22505003481
1087,30627143714
1088,30711961716
1089,30179502854
1090,30365542322
1091,30735331325
1092,381789268
1093,30505774641
1094,30644571045
1095,30299235127
1096,30405755303
1097,21419752
1098,16201619952
1099,30605055028
1100,30349208601
1101,5334849969
1102,586706972
1103,30617831644
1104,30641300922
1105,30521947856
1106,758139714
1107,30384218741
1108,898001281
1109,30621936480
1110,17475986893
1111,15525845142
1112,8644770135
1113,30656874668
1114,30697790977
1115,22877616178
1116,30733180192
1117,30238555834
1118,303692372
1119,30538101288
1120,30740199431
1121,30662763775
1122,22531841507
1123,30706474914
1124,362354844
1125,30149718025
1126,30737635312
1127,30429270948
1128,30255639397
1129,30303597004
1130,22844627983
1131,30454911106
1132,30733393192
1133,30568676125
1134,10236871331
1135,30264905720
1136,30249696297
1137,22925602126
1138,30116002775
1139,30582848774
1140,30080476038
1141,30614250089
1142,30520520867
1143,30745836844
1144,30615967183
1145,17507276019
1146,30740419510
1147,30685044905
1148,30722595391
1149,30699080730
1150,30609768171
1151,30253520540
1152,22844627890
1153,30575684620
1154,30741989918
1155,30699300574
1156,30747254267
1157,30699080560
1158,2713065618
1159,219907698
1160,22817138505
1161,30594237582
1162,30324835559
1163,30620683091
1164,30137602972
1165,9405403007
1166,30109149713
1167,30577418637
1168,30647249176
1169,30551329039
1170,20572902642
1171,30118845605
1172,30739756250
1173,30748178759
1174,30742101855
1175,30405504481
1176,30053817990
1177,20673321153
1178,30746115884
1179,30536870648
1180,30367168499
1181,18572144197
1182,30753139562
1183,1368030828
1184,30563331262
1185,30271232517
1186,30617505148
1187,30602369998
1188,30699267039
1189,3828386155
1190,30738609545
1191,18075627086
1192,22920888415
1193,14461313120
1194,1270420421
1195,8942623395
1196,9742411646
1197,30733533960
1198,30272466981
1199,609409907
1200,30404064304
1201,30663797167
1202,16588001628
1203,30137479617
1204,22540662528
1205,30571379234
1206,30666176752
1207,30665131907
1208,30611167775
1209,1039445753
1210,30711729066
1211,30694786234
1212,30412935345
1213,30601110970
1214,30525229390
1215,5428788399
1216,30704210286
1217,1207397416
1218,22819962348
1219,30041453422
1220,30487834402
1221,30744570455
1222,17515521501
1223,30693672779
1224,152665796
1225,22408985163
1226,17922142412
1227,19972923403
1228,98716627
1229,30210928493
1230,10042376522
1231,12481311843
1232,30358520547
1233,30278901984
1234,30137483087
1235,30137467240
1236,30548120455
1237,30663429107
1238,30697853025
1239,30290118605
1240,30744317539
1241,30615832236
1242,30345446183
1243,30288842132
1244,30536903962
1245,30736427041
1246,641902420
1247,30381126611
1248,30573039059
1249,30697861109
1250,18518594470
1251,17834158761
1252,2780155689
1253,30354638602
1254,30166317999
1255,30649338159
1256,22256856990
1257,880572285
1258,30025550703
1259,30722939150
1260,30132927534
1261,21053898505
1262,30237339011
1263,30619264087
1264,30470510220
1265,14781988251
1266,30496814437
1267,30660746851
1268,30628688820
1269,9177465481
1270,22867333687
1271,792263735
1272,13911965627
1273,12613821190
1274,30692887045
1275,30743842382
1276,22408991012
1277,30738616102
1278,30750813660
1279,832410435
1280,12059030439
1281,30718111523
1282,30637008458
1283,22896984656
1284,30283016423
1285,30230418521
1286,1174609542
1287,30614228548
1288,30411497940
1289,197729822
1290,22629703149
1291,30533825586
1292,30553181776
1293,30584870242
1294,30471017317
1295,30137527023
1296,1329938319
1297,30247852244
1298,30587976048
1299,30234311335
1300,30556625638
1301,30743846080
1302,30606964444
1303,30456996157
1304,30425835720
1305,22845474495
1306,30080065810
1307,30697849688
1308,30732922681
1309,30553012691
1310,30343295167
1311,30699166666
1312,30587556695
1313,12582942135
1314,30715383922
1315,987184342
1316,1083466282
1317,30737771175
1318,19342717713
1319,30725369374
1320,30621255723
1321,30342544214
1322,30271155128
1323,30234056309
1324,30740769467
1325,9061568763
1326,22516161984
1327,30723750082
1328,16239547366
1329,12220754484
1330,30711924640
1331,30694503032
1332,30450498742
1333,30740770834
1334,30711982418
1335,30740677926
1336,30737369099
1337,22854045635
1338,30657359046
1339,30688805911
1340,30120580011
1341,5642072649
1342,30748223212
1343,30430422077
1344,30748470616
1345,2845020492
1346,30220750658
1347,30464063991
1348,30557212002
1349,30711835943
1350,30575196945
1351,30310716799
1352,30616208200
1353,30734078769
1354,30723874912
1355,22607281731
1356,30740761903
1357,1425230416
1358,30547846221
1359,15188396493
1360,30623910462
1361,226751730
1362,30327159411
1363,9695135519
1364,30739024316
1365,30310719623
1366,30494040732
1367,30137546438
1368,30310717455
1369,30602596700
1370,30626762830
1371,30749398161
1372,30556301377
1373,4785261960
1374,30043819116
1375,30577538311
1376,30174848077
1377,30740254160
1378,30662679638
1379,30370986346
1380,15453811073
1381,30720953992
1382,30739835435
1383,30662759031
1384,30422383221
1385,18720729558
1386,30732993858
1387,30739714864
1388,16776959296
1389,30137539543
1390,8812749032
1391,17004357783
1392,30747916416
1393,17004357656
1394,22900795027
1395,30259629672
1396,21733240388
1397,30663106817
1398,22420043329
1399,30699607262
1400,30707076242
1401,30668426902
1402,30699272601
1403,18440112995
1404,22420065033
1405,30577410741
1406,30616978431
1407,15039149220
1408,30622250736
1409,22823700639
1410,22506238387
1411,30699303224
1412,2786898050
1413,30614157218
1414,19586146168
1415,17683652843
1416,30230570919
1417,30740281702
1418,30266561255
1419,30728439724
1420,30737115307
1421,30620265038
1422,30705914204
1423,30590813161
1424,30276548629
1425,30699012964
1426,21031779900
1427,30277064592
1428,30324134990
1429,30073791822
1430,22539795352
1431,30618902668
1432,30082091534
1433,15517305565
1434,30515188131
1435,30699603832
1436,30301439914
1437,30267868874
1438,30604991902
1439,30737944945
1440,30647053255
1441,30324230737
1442,30591576566
1443,30027527767
1444,16881755652
1445,30504798481
1446,30278697293
1447,30577375783
1448,22020192322
1449,172778114
1450,30652780972
1451,30630997831
1452,11924291735
1453,30715057262
1454,30705597817
1455,77404867
1456,30410509355
1457,30710507613
1458,30137565836
1459,30727848969
1460,30252653307
1461,30137544965
1462,16794748174
1463,30647532444
1464,12754088828
1465,30699123894
1466,30257722657
1467,22505003916
1468,30725400752
1469,22020192669
1470,22849166915
1471,19650898911
1472,30564375343
1473,30665007865
1474,30666949187
1475,12901440996
1476,13568994103
1477,22589529202
1478,8086171188
1479,30740668863
1480,30554314302
1481,30739522717
1482,30357161682
1483,22578928888
1484,30598056380
1485,30086149946
1486,30601364324
1487,19247665284
1488,30339603406
1489,30339141978
1490,30636806157
1491,30531355051
1492,30688968393
1493,11488336857
1494,30040431929
1495,18289073181
1496,30357684266
1497,30656825065
1498,30642465549
1499,30520534108
1500,5766052571
1501,30698947950
1502,30723884338
1503,30239175924
1504,30310717360
1505,30611199162
1506,30604164320
1507,30736436596
1508,434818342
1509,4749812165
1510,153620084
1511,30224374603
1512,30650532245
1513,30210709685
1514,5812643104
1515,30187959914
1516,22524110709
1517,22629698800
1518,17146192626
1519,30582859116
1520,30643301988
1521,30475795560
1522,5064367117
1523,30609761065
1524,30282156992
1525,30656854583
1526,22420041434
1527,30404725968
1528,10448242450
1529,30617429147
1530,22505124663
1531,30716888222
1532,30663306778
1533,30661516953
1534,30551324251
1535,30594560684
1536,30276686276
1537,30688425007
1538,178644568
1539,30721450164
1540,30697334366
1541,12220754483
1542,22763476504
1543,30137497304
1544,22773467887
1545,30359761004
1546,30210826294
1547,30662797376
1548,30743291182
1549,22388352252
1550,1428681247
1551,22418989022
1552,30267980828
1553,30741854154
1554,1094685496
1555,30552011094
1556,30739812948
1557,5809421567
1558,15296155760
1559,30001185666
1560,30745478103
1561,30714488513
1562,30739337665
1563,30405814296
1564,11921901893
1565,14123108877
1566,30452635812
1567,16594898283
1568,827075202
1569,30646844413
1570,22786084357
1571,30299256422
1572,30697334982
1573,30738567671
1574,30137492542
1575,30688735121
1576,30137482099
1577,30667605177
1578,30551329919
1579,30137477799
1580,22494581703
1581,510203926
1582,30359762770
1583,30177639421
1584,30737500130
1585,30203650509
1586,30452031717
1587,30553673902
1588,30219163913
1589,30671534590
1590,30137477188
1591,30551327218
1592,32484944
1593,22505126581
1594,30463166415
1595,30102307085
1596,30698614313
1597,759353115
1598,22883148735
1599,30564447306
1600,30052019485
1601,30051995250
1602,30605077590
1603,30631158587
1604,30210706071
1605,9231494500
1606,22877746570
1607,30699640759
1608,30727512746
1609,22849748472
1610,30582837181
1611,30137482101
1612,22020192317
1613,30427235844
1614,30519754020
1615,17004356376
1616,30745124005
1617,30744480284
1618,30303770291
1619,30282663517
1620,30277724965
1621,30699302356
1622,30359733132
1623,30137470432
1624,1050076925
1625,5434713188
1626,30741265710
1627,30744676148
1628,30749367213
1629,9446226872
1630,30749512889
1631,30703863214
1632,30335029127
1633,30739671536
1634,30575027483
1635,30422560680
1636,30295220403
1637,10958554306
1638,30696276793
1639,30502071527
1640,30037431563
1641,30697529615
1642,22571859911
1643,30746072553
1644,225137188
1645,30718268353
1646,22540679446
1647,7402796624
1648,30744360452
1649,30711682997
1650,30575265121
1651,30722032296
1652,30209629952
1653,30648085244
1654,22398006214
1655,30591016674
1656,30659966751
1657,30747505424
1658,30720515973
1659,18072154108
1660,30737600997
1661,22649811785
1662,30732884116
1663,30694899047
1664,30545371006
1665,30747332701
1666,1945206117
1667,10064331613
1668,30610078216
1669,30514506070
1670,30728386662
1671,30530752062
1672,30288224085
1673,30463402733
1674,30739575571
1675,30727245265
1676,30725401698
1677,30659371327
1678,30137489485
1679,30745075767
1680,15212889762
1681,30603243852
1682,22469282967
1683,22497347076
1684,30308118230
1685,11493984439
1686,21470035489
1687,30699083025
1688,22803365843
1689,30335451279
1690,30172354943
1691,30697558248
1692,30137476837
1693,30671498696
1694,30573987444
1695,30626769991
1696,327939150
1697,30697811789
1698,10250909849
1699,30137495373
1700,30754204137
1701,30594568946
1702,22859119352
1703,22867452406
1704,30314116259
1705,10236717920
1706,140933246
1707,30431429515
1708,30734513897
1709,30656662317
1710,21365583773
1711,30706822965
1712,30249658402
1713,30611203813
1714,22618645416
1715,30309841355
1716,30709559862
1717,1417796350
1718,30432385906
1719,18513225436
1720,308391950
1721,30551326311
1722,155172594
1723,30741772694
1724,30746185146
1725,30627702496
1726,30346046203
1727,19902955218
1728,30137543970
1729,30535979472
1730,30269823697
1731,30454135628
1732,30738979244
1733,22877522034
1734,30717860531
1735,30575404113
1736,7388583901
1737,30279114735
1738,30727868009
1739,30599717073
1740,30084967398
1741,30738796457
1742,30299606012
1743,30371127849
1744,30329104536
1745,30621221283
1746,30734778612
1747,30525203317
1748,30362659750
1749,30726458903
1750,30718898476
1751,22544960744
1752,30351875071
1753,30707765331
1754,30722923034
1755,30485861167
1756,30737533782
1757,989012211
1758,6774802303
1759,30259712790
1760,30698062143
1761,76653778
1762,30742124733
1763,18755296648
1764,30137480255
1765,4569840189
1766,30642352456
1767,30599143993
1768,30749468580
1769,30708880890
1770,30418122151
1771,2670096001
1772,88327553
1773,12714949940
1774,14883183612
1775,30557454983
1776,22413833848
1777,30635247144
1778,30268661188
1779,30745098523
1780,1399292906
1781,30737203002
1782,30257048832
1783,30571010489
1784,30738128598
1785,30347375805
1786,30621251590
1787,30598997637
1788,6671606916
1789,30137479618
1790,30744090765
1791,30275789869
1792,30697479685
1793,1262336806
1794,823826811
1795,22920926346
1796,30657567652
1797,30137516495
1798,30688818396
1799,30739226607
1800,30514115972
1801,30724611487
1802,6774827957
1803,30422443815
1804,20281396970
1805,30744031296
1806,30697402055
1807,22662863331
1808,30699252756
1809,30494967620
1810,30090321729
1811,4749795714
1812,30560890476
1813,30670159069
1814,30716346199
1815,30686655750
1816,30424842082
1817,14781986290
1818,30549948758
1819,259393306
1820,30590636428
1821,19929133544
1822,30268138508
1823,22913045005
1824,4509639548
1825,6852173344
1826,18700796423
1827,30700602654
1828,30367928401
1829,30535334475
1830,30137492550
1831,30699627695
1832,30662078309
1833,30038784093
1834,15525884513
1835,30363412655
1836,10042376524
1837,30636218759
1838,22747896299
1839,30695482623
1840,30636753674
1841,30088022273
1842,30698904228
1843,30699512267
1844,30310722148
1845,2407602013
1846,30661486066
1847,30137476840
1848,30598180589
1849,30129295518
1850,3365697142
1851,30308236340
1852,6091512873
1853,30282659542
1854,30411963799
1855,30587915795
1856,30305888689
1857,30212260117
1858,30727495738
1859,94519861
1860,17890205038
1861,6720955321
1862,16749435712
1863,30558258256
1864,30667882603
1865,30722957322
1866,30721865990
1867,30266581049
1868,30137484927
1869,30534617256
1870,30727530003
1871,30282131848
1872,30564253149
1873,30687839832
1874,30466353601
1875,30742359521
1876,30210901744
1877,30738005460
1878,17004357813
1879,30696000331
1880,30365055909
1881,15386250223
1882,30137481202
1883,19145849020
1884,30137477795
1885,30697329424
