author,about_auth
BRAM STOKER,"Hijo de Abraham Stoker y Charlotte Mathilda Blake Thornley, Bram fue el tercero de siete hermanos.1 Era de una familia burguesa, trabajadora y austera, cuya �nica fortuna eran los libros y la cultura. Su precaria salud lo oblig� a llevar a cabo sus primeros estudios en su hogar con profesores privados, ya que pas� sus primeros siete a�os de vida postrado en la cama por diversas enfermedades, mientras su madre le contaba historias de fantasmas y misterio que luego influir�an en su obra. A los siete a�os se recuper� por completo. En 1864, ingres� en el Trinity College, donde se licenciar�a con matr�cula de honor en matem�ticas y ciencias en 1870. Fue campe�n de atletismo y presidente de la Sociedad Filos�fica. Mientras estudiaba, trabaj� como funcionario en el castillo de Dubl�n, sede del gobierno brit�nico en Irlanda, donde su padre ocupaba un alto cargo, y como cr�tico de teatro para el Dublin Evening Mail y cr�tico de arte para varias publicaciones de Irlanda y de Inglaterra. Aprob� las oposiciones de Derecho para poder ejercer como abogado en Inglaterra. En 1878, cinco d�as antes de trasladarse a Londres, Stoker se cas� con Florence Balcombe, una antigua novia de su amigo Oscar Wilde, con la que tuvo un hijo, llamado Irving Noel.                        "
"BULFINCH, THOMAS","American author Thomas Bulfinch (1796�1867) was steeped in classical culture from an early age, attending the Boston Latin School, Phillips Exeter Academy, and Harvard College. His first book, The Age of Fable, told of gods and heroes as portrayed in the works of Ovid and Virgil. It was later combined with The Age of Chivalry and Legends of Charlemagne in a single volume known as Bulfinch's Mythology, which has entertained and educated generations of children and adults.                        "
"BURROUGHS, EDGAR RICE","Edgar Rice Burroughs (1875 � 1950) was an American writer, best known for his creations of the jungle hero Tarzan and the heroic Mars adventurer John Carter, although he produced works in many genres. At the time of the attack on Pearl Harbor, Burroughs was a resident of Hawaii and, despite being in his late 60s, he applied for permission to become a war correspondent. This permission was granted, and so he became one of the oldest war correspondents for the U.S. during the Second World War. After the war ended, Burroughs moved back to Encino, California, where, after many health problems, he died of a heart attack on March 19, 1950, having written almost 80 novels.                        "
"CAMPBELL, JOSEPH","Joseph Campbell was an American author and teacher best known for his work in the field of comparative mythology. He was born in New York City in 1904, and from early childhood he became interested in mythology. He loved to read books about American Indian cultures and frequently visited the American Museum of Natural History in New York, where he was fascinated by the museum�s collection of totem poles. Campbell was educated at Columbia University, where he specialized in medieval literature, and, after earning a master�s degree, continued his studies at universities in Paris and Munich. Throughout his life, he traveled extensively and wrote prolifically, authoring many books, including the four-volume series The Masks of God, Myths to Live By, The Inner Reaches of Outer Space, and A Skeleton Key to Finnegans Wake. Campbell died in 1987. In 1988, a series of television interviews with Bill Moyers, The Power of Myth, introduced his views to millions of people.                        "
CAROLE MARSH,"Carole Marsh:Native of Atlanta, Georgia Professional writer and photographer Founder and CEO of Gallopade International, Inc. Founder and Owner of Marsh Media, a public relations anD corporate communications firm Creator of more than 15,000 products, primarily fiction and non-fiction supplementary educational materialsincluding books, interactive CD-ROMs, games, and online adventures  Awards Include:2011 Teachers� Choice for the Classroom by Learning Magazine 2007 Greatest Products by iParenting Media 2006 Georgia Author of the Year by Georgia Writers Association 2004 Teachers� Choice for the Family by Learning Magazine 2003 Excellence in Education Award from the National School Supply and Equipment Association 2002 Teachers' Choice Award by Learning Magazine 2002 Award of Excellence Recipient from Association Advance America  2000 Fastest Growing Small Press from Publishers Weekly Communicator of the Year in 1979 "
"CARTER, LIN",If JRR Tolkien was the single author most responsible for the existence of Fantasy as a modern publishing genre then the single editor and critic with the same claim was Lin Carter. His tireless advocacy of both modern fantasy writers and their historical forbears as the first editor on the Ballantine Adult Fantasy series was hugely influential.                        
CARYS CRAGG,"Carys Cragg: Carys Cragg is faculty in Child, Family & Community Studies at Douglas College. Her personal essays reviews have appeared in The Globe & Mail and The Tyee, amongst others. She is a graduate of of the Writer�s Studio at Simon Fraser University.                        "
CHARLES DICKENS,"After a childhood blighted by poverty, commercial success came early to Charles Dickens (1812-70). By the age of 24, he was an international sensation whose new novels were eagerly anticipated. Two centuries later, Dickens's popularity endures as readers revel in the warm humanity and rollicking humor of his tales of self-discovery.                        "
CHARLES FORT,"Charles Fort's books include We Did Not Fear the Father: New and Selected Poems (Red Hen Press, 2012), MRS. BELLADONNA'S SUPPER CLUB WALTZ (The Backwaters Press, 2013), and The Town Clock Burning (Carnegie Mellon University Press, Classic Contemporary Series). Fort's poems have appeared in such journals, periodicals, and anthologies as The Best American Poetry 2003, The Best American Poetry 2000, Best of Prose Poem International, and The American Poetry Review. He is the founder of the Wendy Fort Foundation Theater of the Arts. A past MacDowell fellow, Fort is currently at work on a novel: The Last Black Hippie in Connecticut.                        "
"CHRISTIE, AGATHA","Agatha Christie est sans nul doute l'une des romancieres les plus appreciees de son temps. Auteur de quatre-vingt-quatre ouvrages qui constituent pour la plupart des intrigues policieres, d'une vingtaine de pieces de theatre et de plusieurs recueils de nouvelles, elle est parvenue a faire de ses oeuvres de grands succes du XXe siecle, lues partout dans le monde (plus de 2 milliards d'exemplaires vendus).                        "
CLAIRE THROP,Claire Throp has many years of experience editing and writing nonfiction books for children. She has written on subjects ranging from science and animals to countries and sports.                        
CLARE WINGER HARRIS,"Clare Winger Harris (1891�1968) was an early science fiction writer whose short stories were published during the 1920s. She is credited as the first woman to publish stories under her own name in science fiction magazines. Her stories often dealt with characters on the borders of humanity such as cyborgs. A native of Illinois, she died in Pasadena, California at age seventy-seven.                        "
CYNTHIA ROWLEY,"Cynthia Rowley is an artist, designer, and author. Her fashion company has stores in New York, Los Angeles, Chicago, the Hamptons, and Tokyo. She has dressed Scarlett Johannson, Rebecca Romijn, Anne Hathaway, Parker Posey, Sarah Jessica Parker, and Hilary Duff, and is one of the most recognized personalities in fashion. She lives in New York City.                        "
DANIEL DEFOE,"L. J. Swingle is Professor Emeritus of English Literature at the University of Kentucky, where his primary field of study is the intellectual contexts of British Romanticism as reflected in the works of eighteenth- and nineteenth-century poets and novelists.                        "
"DERLETH, AUGUST","August Derleth (1909-1971) published more than 150 books of all genres, including such sagas as Wind over Wisconsin, the Judge Peck mysteries, and numerous tales of horror, fantasy, and the supernatural. Railroad historian H. Roger Grant is professor of history at Clemson University; his introduction to this edition of The Milwaukee Road provides the story of the book's original publication and a short history of the Milwaukee after 1948.                        "
DIANA MARCELLAS,"A native of Oregon, Diana Marcellas lives in a small resort town, Pinetop-Lakeside, in northeastern Arizona. She recently left her dayjob as director of Legal Aid for the White Mountain Apache to reenter private law practice, and continues to teach history and legal advocacy part-time at the local community college. A fan of SF and fantasy since sixth grade, she began writing SF and fantasy during law school over twenty years ago, published several science-fiction novels in the early 90s, and is currently writing fantasy forTtor. Her first book in the witch of two suns series, Mother Ocean, Daughter Sea, appeared in September 2001, and the second book, The Sea Lark's Song, was published in December 2002, with the third book, Twilight Rising, due out in August 2004. She is currently working on the next book in her series as well as other writing projects. My life is an interesting combination, she says, of the very prosaic and people-oriented practice of law and the more solitary daydreaming of writing fantasy. My Apache friends are often after me to write Apache Tony Hillerman mysteries, but my first love is fantasy and SF, which I began reading as a girl and have never stopped. I first thought up my shari'a witch, Brierley Mefell, while in college, and she has lived in my imagination for over thirty years, much beloved, always fascinating. Other characters have appeared over the years to join the collection of people in my head, but Bri has been with me since the beginning and hers is a story I always wanted to write. Now, thanks to Tor, I have the wonderful privilege of living in Brierley's world, as least vicariously, as I write her ongoing story. Diana's interests include medieval history, practicing Wicca as a solitary witch, Apache tradition and culture, Zebra finches (she has a flock of fourteen), and needlework.                         "
DIANA TIXIER HERALD,"Diana Tixier Herald, a former readers' advisory librarian, is program and outreach manager at Delta County Libraries, Delta, CO, and an author, readers' advisory consultant, workshop presenter, and speaker.                        "
"DICKENS, CHARLES","After a childhood blighted by poverty, commercial success came early to Charles Dickens (1812-70). By the age of 24, he was an international sensation whose new novels were eagerly anticipated. Two centuries later, Dickens' popularity endures as readers revel in the warm humanity and rollicking humor of his tales of self-discovery.                        "
"DICKINSON, EMILY","Emily Dickinson (1830 - 1886) was born in Amherst, Massachusetts, and is considered to be one the greatest poets of American literature. The daughter of a prominent lawyer, she spent almost all of her life in her birthplace, gradually withdrawing from local activities, and spending her later years as a virtual recluse in her father's house. She composed over one thousand unique lyrics dealing with religion, love, nature, death, and immortality, only seven of which were published during her lifetime. Her verse, noted for its aphoristic style, its wit, its delicate metrical variation, and its bold and startling imagery, has had great influence on twentieth-century poetry. Ferris Cook is the illustrator of three companion books to this series: Odes to Common Things and Odes to Opposites by Pablo Neruda, and The Rose Window and Other Verse From New Poems by Rainer Maria Rilke.                        "
"DICKINSON, STEPHANIE EMILY","Stephanie Emily Dickinson, raised on an Iowa farm, now lives in New York City. She graduated with an MFA from the University of Oregon. Her work appears in Hotel Amerika, Mudfish, Weber Studies, Fjords, Water-Stone Review, Gargoyle, Rhino, Stone Canoe, Westerly, and New Stories from the South, among others. Heat: An Interview with Jean Seberg is available from New Michigan Press. Her novel Half Girl and novella Lust Series are published by Spuyten Duyvil, as is her recent novel Love Highway, based on the 2006 Jennifer Moore murder. Her latest book is GIRL BEHIND THE DOOR (Rain Mountain Press, 2017). Her work has received multiple distinguished story citations in the Pushcart Anthology, Best American Short Stories, and Best American Mysteries. She is the editor of Rain Mountain Press. She shares an East Village walk-up with the poet Rob Cook and two felines, Sally Joy and Vallejo.                        "
DONNELLY IGNATIUS DONNELLY,"Ignatius Loyola Donnelly (November 3, 1831 � January 1, 1901) was a U.S. Congressman, populist writer and amateur scientist, known primarily now for his theories concerning Atlantis, Catastrophism (especially the idea of an ancient impact event affecting ancient civilizations), and Shakespearean authorship, which many modern historians consider to be pseudoscience and pseudohistory. He was the son of an Irish immigrant who had settled in Philadelphia, Pennsylvania. He was admitted to the prestigious Central High School, the second oldest public high school in the United States. There he studied under the presidency of John S. Hart, excelling primarily in literature. He then decided to become a lawyer, and became a clerk for Benjamin Brewster, who later became Attorney-General of the United States. He was admitted to the bar in 1852. In 1855, he married Katherine McCaffrey, with whom he had three children. In 1855, he resigned his clerkship, entered politics and participated in communal home building schemes. Together with several partners, he initiated a utopian community called Nininger City.                        "
"DONNELLY, IGNATIUS","Ignatius Loyola Donnelly (November 3, 1831 � January 1, 1901) was a U.S. Congressman, populist writer and amateur scientist, known primarily now for his theories concerning Atlantis, Catastrophism (especially the idea of an ancient impact event affecting ancient civilizations), and Shakespearean authorship, which many modern historians consider to be pseudoscience and pseudohistory. He was the son of an Irish immigrant who had settled in Philadelphia, Pennsylvania. He was admitted to the prestigious Central High School, the second oldest public high school in the United States. There he studied under the presidency of John S. Hart, excelling primarily in literature. He then decided to become a lawyer, and became a clerk for Benjamin Brewster, who later became Attorney-General of the United States. He was admitted to the bar in 1852. In 1855, he married Katherine McCaffrey, with whom he had three children. In 1855, he resigned his clerkship, entered politics and participated in communal home building schemes. Together with several partners, he initiated a utopian community called Nininger City. However, the Panic of 1857 doomed the attempt at a cooperative farm and community and left Donnelly deeply in debt. He entered politics and was lieutenant governor of Minnesota from 1860�1863. He was a Republican Congressman from Minnesota in the 38th, 39th, and 40th congresses, (1863�1868) and a state senator from 1874�1878. As a legislator, Donnelly advocated extending the powers of the Freedmen's Bureau to provide education for freedmen so that they could protect themselves once the bureau was withdrawn. Donnelly was also an early supporter of women's suffrage. After leaving the Minnesota State Senate in 1878, he returned to his law practice and writing.                        "
DOVER THRIFT EDITIONS,"Alan Lee was born in Middlesex in 1947. His illustrated books include Faeries (with Brian Froud), Castles and Merlin Dreams, and has worked on such prestigious films as Erik the Viking (Terry Gilliam), Legend (Ridley Scott), and the acclaimed NBC miniseries Merlin. He is best known however for his work on the book and film versions of The Lord of the Rings and The Hobbit.                        "
"DOYLE, ARTHUR CONAN","Arthur Conan Doyle was a prolific writer born in Scotland who started out as a medical doctor. While at the University of Edinburgh, he augmented his income by writing stories. His first Sherlock Holmes tale was published in 1887, introducing one of literature's best-loved detectives. Doyle has also written many works of history and science fiction, plus plays and poetry.                        "
"DUNSANY, LORD","Edward John Moreton Drax Plunkett, 18th Baron Dunsany (1878�1957), inherited one of the oldest titles in the Peerage of Ireland. Lord Dunsany, who lived much of his life at Dunsany Castle in County Meath, was a prolific writer of novels, short stories, plays, essays, and autobiography. He is best known for his fantasy novels and stories, and his writing influenced the works of J.R.R. Tolkien, C.S. Lewis, H.P. Lovecraft, and Ursula K Le Guin, among others.Michael Grenke teachs at St. John's College in Annapolis, Maryland."
EDGAR ALLAN POE,"Edgar Allan Poe (1809 - 49), was born in Boston, USA. He was a short-story writer, editor and literary critic, and is considered part of the American Romantic Movement. Best known for his tales of mystery and the macabre, Poe was one of the earliest American practitioners of the short story and is considered the inventor the detective-fiction genre.                        "
EDGAR RICE BURROUGHS,"Edgar Rice Burroughs (1875 � 1950) was an American writer, best known for his creations of the jungle hero Tarzan and the heroic Mars adventurer John Carter, although he produced works in many genres. At the time of the attack on Pearl Harbor, Burroughs was a resident of Hawaii and, despite being in his late 60s, he applied for permission to become a war correspondent. This permission was granted, and so he became one of the oldest war correspondents for the U.S. during the Second World War. After the war ended, Burroughs moved back to Encino, California, where, after many health problems, he died of a heart attack on March 19, 1950, having written almost 80 novels.                        "
EDWARD LUCAS WHITE,"Edward Lucas White (1866�1934), who�taught high school�for many years�in Baltimore,�was better�known in his lifetime for his�historical novels. Today he is remembered for his short fiction, particulary the fantasy works and tales of supernatural horror that were inspired by his recurrent nightmares.S. T. Joshi is a literary critic, novelist, and a leading figure in the study of H. P. Lovecraft and other authors of weird and fantastic fiction.                        "
EMILY DICKINSON,"Arguably America�s greatest poet, Emily Dickinson (1830�1886) published fewer than a dozen of her eighteen hundred poems during her lifetime.Jen Bervin�s work includes The Dickinson Composites, The Desert, and Nets.Marta Werner�s books include Emily Dickinson�s Open Folios: Scenes of Reading, Surfaces of Writing and Radical Scatters: An Electronic Archive of Emily Dickinson�s Late Fragments and Related Texts.                        "
ERIC VON DANIKEN,"Erich von Daniken is the author of the worldwide bestseller Chariots of the Gods and its follow-up, The Eyes of the Sphinx, in addition to over two dozen other books.William Dufris has been nominated nine times as a finalist for the APA's prestigious Audie Award and has garnered twenty-one Earphones Awards from AudioFile magazine, which also named him one of the Best Voices at the End of the Century. He has also acted on stage and television in the United States, the United Kingdom, and Germany.                        "
ERIC WILSON,"Eric Wilson and his wife, Carolyn Rose, live with their two energetic daughters in Nashville, Tennessee. The author of Dark to Mortal Eyes and Expiration Date, Eric has traveled in numerous countries, feeding his love of the outdoors and his need to explore. This is the first book in the Aramis Black series.                        "
"FORT, CHARLES","Charles Fort's books include We Did Not Fear the Father: New and Selected Poems (Red Hen Press, 2012), MRS. BELLADONNA'S SUPPER CLUB WALTZ (The Backwaters Press, 2013), and The Town Clock Burning (Carnegie Mellon University Press, Classic Contemporary Series). Fort's poems have appeared in such journals, periodicals, and anthologies as The Best American Poetry 2003, The Best American Poetry 2000, Best of Prose Poem International, and The American Poetry Review. He is the founder of the Wendy Fort Foundation Theater of the Arts. A past MacDowell fellow, Fort is currently at work on a novel: The Last Black Hippie in Connecticut.                        "
FRITZ LEIBER,"Neil Gaiman is the author of many bestsellers for readers of all ages including Stardust (the basis for the blockbuster movie), Fragile Things, Anansi Boys, Interworld, and Coraline. He lives in Minneapolis, Minnesota. Fritz Leiber is considered one of science fiction's legends. Author of a prodigious number of stories and novels, many of which were made into films, he is best known as creator of the classic Lankhmar fantasy series. Fritz Leiber has won awards too numerous to count including the coveted Hugo and Nebula, and was honored as a lifetime Grand Master by the Science Fiction Writers of America. He died in 1992                        "
GEORGE ORWELL,"Eric Arthur Blair (1903-1950), much better known by the pen name George Orwell, was a British author, journalist and socialist. In December 1936, Orwell went to Spain to fight for the Republican side in the Spanish Civil War against Francisco Franco's Nationalist uprising. He is best known for two novels written towards the end of his short life: Animal Farm and Nineteen Eighty-Four.                        "
GRAHAM MCNAMEE,"GRAHAM McNAMEE is the award-winning author of five novels, including Sparks, which won the first PEN/Phyllis Naylor Working Writer Fellowship; Bonechiller; and Acceleration, winner of the Edgar Award for Best Young Adult Mystery.                        "
GWYNETH LEWIS,"Gwyneth Lewis is a writer, a poet, and the recipient of the Aldeburgh Poetry Festival Prize and a Mental Health in the Media Award. She is the author of Sunbathing in the Rain: A Cheerful Book on Depression, Two in a Boat: A Marital Voyage, and six books of poetry. She is a fellow at Harvard University, a fellow of the Royal Society of Literature, and an honorary fellow of Cardiff University.                        "
"HARRIS, CLARE WINGER","Clare Winger Harris (1891�1968) was an early science fiction writer whose short stories were published during the 1920s. She is credited as the first woman to publish stories under her own name in science fiction magazines. Her stories often dealt with characters on the borders of humanity such as cyborgs. A native of Illinois, she died in Pasadena, California at age seventy-seven.                        "
HELENA P BLAVATSKY,"According to her own story as told to a later biographer, she spent the years 1848 to 1858 traveling the world. She visited Egypt, France, Canada (Quebec), England, South America, Germany, Mexico, India, Greece and especially Tibet, where she studied for two years with the ascetics, to whom she referred as Brothers. She was initiated for theosophical work while in Tibet.                        "
HELENA PETROVA BLAVATSKY,"H. P. Blavatsky (1831-1891) was a theosophist, mystic and co-founder of the Theosophical Society. She has been dubbed the mother of the new age for the profound effect her promulgation of eastern mysticism has had on the spiritual thought of the west. Biography: http://www.universaltheosophy.com/bios/blavatsky/ Collected Writings: http://www.universaltheosophy.com/writings-hpb/                        "
HELENA PETROVNA BLAVATSKY,"H. P. Blavatsky (1831-1891) was a theosophist, mystic and co-founder of the Theosophical Society. She has been dubbed the mother of the new age for the profound effect her promulgation of eastern mysticism has had on the spiritual thought of the west. Biography: http://www.universaltheosophy.com/bios/blavatsky/ Collected Writings: http://www.universaltheosophy.com/writings-hpb/                        "
HENRY DAVID THOREAU,"Henry David Thoreau was born in Concord, Massachusetts in 1817. He graduated from Harvard in 1837, the same year he began his lifelong Journal. Inspired by Ralph Waldo Emerson, Thoreau became a key member of the Transcendentalist movement that included Margaret Fuller and Bronson Alcott. The Transcendentalists' faith in nature was tested by Thoreau between 1845 and 1847 when he lived for twenty-six months in a homemade hut at Walden Pond. While living at Walden, Thoreau worked on the two books published during his lifetime: Walden (1854) and A Week on the Concord and Merrimack Rivers (1849). Several of his other works, including The Maine Woods, Cape Cod, and Excursions, were published posthumously. Thoreau died in Concord, at the age of forty-four, in 1862.Paul Theroux, an internationally acclaimed travel writer, is also the author of over two dozen novels and works of non-fiction. He divides his time between Cape Cod and the Hawaiian Islands.                        "
HENRY JAMES,"American author Henry James (1843�1916) spent most of his career in Europe and ultimately adopted British citizenship. A prolific writer of criticism, biography, and travel-related books and articles, James is known above all for his highly influential novels, which frequently explore the clash of Old and New World cultures.                        "
HERMAN MELVILLE,"Herman Melville (1819-1891) was an American novelist, short story writer, essayist, and poet who received wide acclaim for his earliest novels, such as Typee and Redburn, but fell into relative obscurity by the end of his life. Today, Melville is hailed as one of the definitive masters of world literature for novels including Moby Dick and Billy Budd, as well as for enduringly popular short stories such as Bartleby, the Scrivener and The Bell-Tower.                         "
"HODGSON, WILLIAM HOPE","English author Hodgson is famous for his contribution to the genre of horror and fantastic fiction. His writings are reflective of his power of expression. He was also a poet, photographer and a sailor.                        "
IGNATIUS DONNELLY,"Ignatius Loyola Donnelly (November 3, 1831 � January 1, 1901) was a U.S. Congressman, populist writer and amateur scientist, known primarily now for his theories concerning Atlantis, Catastrophism (especially the idea of an ancient impact event affecting ancient civilizations), and Shakespearean authorship, which many modern historians consider to be pseudoscience and pseudohistory. He was the son of an Irish immigrant who had settled in Philadelphia, Pennsylvania. He was admitted to the prestigious Central High School, the second oldest public high school in the United States. There he studied under the presidency of John S. Hart, excelling primarily in literature. He then decided to become a lawyer, and became a clerk for Benjamin Brewster, who later became Attorney-General of the United States. He was admitted to the bar in 1852. In 1855, he married Katherine McCaffrey, with whom he had three children. In 1855, he resigned his clerkship, entered politics and participated in communal home building schemes. Together with several partners, he initiated a utopian community called Nininger City.                        "
J M LANDELS,"In addition to her work as a writer, editor, artist, and publisher, JM Landels teaches swordplay and riding � sometimes both at the same time � in Richmond, BC. She draws on this experience, as well as her time as a rock musician and childbirth educator, to inform her debut fantasy novel, Allaigna�s Song: Overture.                        "
