book,condition,price,JacketCondition,Book_Info_ID,publisher_ID
30652067418,good,$4.19 ,,54,1072
30028993415,good,$4.19 ,,55,20
30359738117,good,$19.95 ,good,56,37
30329763735,very good,$6.54 ,,57,38
30737698817,good,$4.00 ,,58,39
30686232758,good,$3.61 ,,59,1072
30425838269,,$10.00 ,,60,40
30737743689,good,$4.70 ,,61,41
30183179393,very good,$3.79 ,,62,42
30320983832,good,$4.50 ,,63,10
30137478754,,$6.00 ,,64,43
6774804172,,$4.01 ,,65,44
22648683565,very good,$9.00 ,,66,45
22494417343,,$19.95 ,,67,2
8246190622,very good,$11.25 ,,68,46
30604786599,good,$2.99 ,,69,20
22513525406,good,$18.00 ,,70,47
5832979961,,$7.00 ,,71,2
2795338706,very good,$10.00 ,,72,2
30381402514,good,$2.50 ,,73,48
30429762138,,$15.93 ,,74,49
998637035,very good,$25.00 ,,75,50
2671035441,very good,$10.00 ,,76,51
3654291430,very good,$50.00 ,,77,52
30137539540,,$8.00 ,,78,20
30137477804,,$6.00 ,,79,53
30686147550,good,$2.95 ,,80,20
30699880571,poor,$3.51 ,,81,54
30037449660,good,$35.46 ,,82,55
30407712304,good,$7.39 ,,83,56
30282570146,,$17.95 ,,84,57
30737194530,good,$4.00 ,,85,
30736082254,good,$7.97 ,,86,58
30648474659,very good,$3.61 ,,87,59
30137491656,,$6.00 ,,88,60
30406109942,good,$11.26 ,,89,61
30733118490,good,$4.55 ,,90,39
30053403427,good,$4.19 ,,91,62
30602634771,very good,$25.00 ,,92,63
19062008056,,$20.00 ,,93,64
30137494440,,$4.00 ,,94,65
18458388866,,$7.00 ,,95,66
10436241196,,$12.00 ,,96,67
30739474960,good,$4.00 ,,97,
30137473206,,$7.00 ,,98,2
30739083505,very good,$4.00 ,,99,
30644172242,new,$8.05 ,,100,
30739950352,good,$4.00 ,,101,1072
30121598318,fair,$1.23 ,,102,68
30575915990,very good,$3.42 ,,103,69
30717116979,good,$2.74 ,,104,70
30203092696,very good,$6.74 ,,105,71
30744988985,very good,$3.89 ,,106,72
30310720384,fair,$3.50 ,,107,2
30647132083,good,$8.39 ,,108,73
30669036419,good,$1.50 ,,109,74
30268656684,new,$42.88 ,,110,
30704861605,very good,$3.95 ,,111,75
22615210486,good,$50.30 ,,112,2
30531346651,good,$4.38 ,,113,76
607648076,good,$24.00 ,,114,77
30708361006,,$19.00 ,,115,78
30266983201,new,$29.77 ,,116,
30377938178,new,$16.06 ,,117,
30699305106,very good,$3.51 ,,118,1072
30699458808,very good,$3.98 ,,119,79
30637134911,very good,$3.50 ,,120,20
30709737079,good,$6.47 ,,121,20
30309832356,fair,$2.49 ,,122,20
22299303321,very good,$15.00 ,,123,80
30595966061,poor,$11.10 ,,124,20
30568793746,new,$13.04 ,,125,
30740400350,good,$3.98 ,,126,68
30735397395,good,,,127,81
30556606540,good,,,128,39
30577545886,good,$4.69 ,,129,79
22769487174,fair,$11.36 ,,130,82
30716428273,good,,,131,83
30127853508,new,$15.61 ,,132,2
30733293954,good,$4.70 ,,133,35
19095751319,good,$18.00 ,,134,2
30723439423,fair,$4.55 ,,135,84
15362937128,,$8.47 ,,136,85
30749307377,good,$4.70 ,,137,86
30415626040,good,$7.86 ,good,138,87
30712018015,,$4.25 ,,139,20
10301020323,fair,$10.00 ,,140,88
30275974063,very good,$14.80 ,,141,89
114761838,,$15.33 ,,142,90
684210019,,$25.00 ,very good,143,91
22420062805,,$7.00 ,,144,2
3001480206,good,$150.00 ,good,145,92
30666564546,very good,$6.98 ,,146,41
30228415401,,$36.62 ,,147,93
14407574795,,$22.00 ,,148,
30667604154,very good,$3.39 ,,149,70
30687961273,,,,150,1072
30734501872,good,$3.84 ,,151,1072
30733616052,good,$2.49 ,,152,94
30281998593,good,$14.99 ,,153,95
30714902240,good,$4.69 ,,154,1072
30736083255,good,$2.48 ,,155,3
30736520672,good,$10.97 ,,156,96
22460401805,,$17.00 ,,157,20
1284941630,,$3.38 ,,158,97
30740021376,very good,$4.70 ,,159,98
30324233101,new,$33.61 ,,160,
30356009620,very good,$6.48 ,,161,99
2337216202,very good,$15.53 ,poor,162,100
30651832922,good,$5.76 ,,163,101
544738317,,$23.00 ,,164,102
30651516898,good,$5.71 ,,165,24
22719066369,,$4.34 ,,166,
19016533949,good,$6.66 ,,167,103
22789582708,,$3.25 ,,168,2
30027561735,fair,,,169,104
30711417302,good,$4.01 ,,170,20
30137495559,,$25.00 ,,171,105
30621293980,good,$4.15 ,,172,
30150294488,,$31.19 ,,173,106
30694833960,good,$2.50 ,,174,2
30230577991,very good,$3.00 ,,175,20
30737438311,good,$4.00 ,,176,107
22457824068,good,$279.00 ,,177,108
21337423311,very good,$30.00 ,,178,109
22552642457,very good,$4.50 ,very good,179,
30364452564,fair,$9.84 ,,180,110
30711207118,good,$3.43 ,,181,111
7059163101,fair,$9.29 ,,182,112
30571389945,very good,$3.61 ,,183,1072
30466178294,good,$46.98 ,,184,113
30687807982,,,,185,1072
30322074022,very good,$5.26 ,,186,114
22665761592,,$6.99 ,,187,115
30443444031,good,$4.34 ,,188,116
12266457281,good,$3.50 ,,189,2
30271292761,new,$41.37 ,,190,
30685407896,good,$3.00 ,,191,10
30661431097,good,$5.87 ,,192,117
1115359369,,$25.00 ,,193,118
30604210482,very good,$40.00 ,,194,2
30742905930,new,$28.82 ,,195,119
30268484086,new,$23.54 ,,196,
30005420507,,$27.50 ,,197,120
30268503328,new,$28.91 ,,198,
18670992715,fair,$4.61 ,,199,121
30259804923,,$9.68 ,,200,122
30618024753,good,$5.19 ,,201,123
30738811879,very good,$4.00 ,,202,
4800293611,,$5.00 ,,203,124
10523283000,new,$4.99 ,,204,1072
30110201905,fair,$2.50 ,,205,20
11144279544,very good,$9.99 ,,206,125
30582626647,good,$4.00 ,,207,20
30580093443,very good,$8.25 ,,208,10
30057305211,,$20.00 ,,209,2
1239335062,,$9.95 ,,210,126
30737970613,very good,$4.70 ,,211,
30747390092,very good,$3.61 ,,212,127
30587436982,new,$9.22 ,,213,
30109124174,,$12.19 ,,214,
30575242715,very good,$3.98 ,,215,128
30663351563,new,$6.98 ,,216,129
46718605,very good,$3.00 ,,217,130
30599151486,good,,,218,20
22420041337,,$7.00 ,,219,131
30588282465,good,$3.00 ,,220,132
30590799112,good,$5.00 ,,221,133
22299303250,very good,$10.00 ,,222,134
344406900,poor,$20.00 ,good,223,135
11028834911,very good,$9.95 ,,224,109
30591014746,fair,$25.50 ,,225,136
30137492539,,$10.00 ,,226,137
1329938320,,$10.00 ,,227,138
30740123224,very good,$4.47 ,,228,139
30694611592,good,$3.98 ,,229,140
22408985165,,$4.00 ,,230,141
30197432915,very good,$23.50 ,very good,231,21
30457658985,good,$3.51 ,,232,
30652282012,good,$5.99 ,,233,2
30532009766,very good,$12.00 ,,234,142
30740925296,very good,$4.99 ,,235,
22859119226,good,$8.60 ,,236,143
30435374169,,$1.00 ,,237,
30697302406,very good,$5.04 ,,238,144
30646187673,,$15.00 ,,239,2
30626768990,good,$4.54 ,,240,145
30716996565,good,$4.49 ,,241,146
30509889426,fair,$6.72 ,,242,147
21050369474,,$15.00 ,,243,148
40813675,,$3.00 ,,244,130
30415047848,good,$5.99 ,,245,149
30637735652,new,$4.09 ,,246,150
30745968139,new,$9.33 ,,247,
30509620097,good,$4.75 ,,248,151
30231736183,,$19.00 ,,249,2
30357780594,good,$3.75 ,,250,10
30043939509,good,$6.36 ,,251,152
30523278020,new,$9.03 ,,252,
633199459,,$10.22 ,,253,97
30577492549,very good,$9.76 ,,254,153
30137500277,,$18.00 ,,255,
30749640801,very good,$6.48 ,,256,154
30690843618,good,$5.64 ,,257,155
30698085470,good,$5.31 ,,258,20
30728851749,good,$6.50 ,,259,2
30709066755,good,$13.75 ,,260,156
9393539240,good,$3.95 ,,261,151
30688895014,good,$3.98 ,,262,9
14871608608,good,$14.00 ,,263,157
30435106493,good,$10.93 ,,264,131
30739086975,good,$4.00 ,,265,
17764494169,good,$3.47 ,,266,158
5064367118,very good,$4.00 ,,267,124
25847721,,$22.50 ,,268,159
20175045909,,$16.50 ,,269,160
30029272789,good,$3.99 ,,270,161
30461486152,very good,$3.84 ,,271,79
30699613723,very good,$5.63 ,,272,162
19739115009,good,$10.62 ,,273,163
30659362866,good,$3.61 ,,274,1
30473471035,good,$10.00 ,,275,164
30694769362,very good,$4.64 ,,276,165
22401195877,good,$20.00 ,,277,166
22843857327,very good,$3.49 ,,278,167
30722927985,very good,$3.98 ,,279,129
30486448234,good,$5.68 ,,280,168
30741543462,very good,$3.80 ,,281,169
30725378274,good,$1.20 ,,282,
30585401520,good,$29.85 ,,283,2
30715437196,good,$4.27 ,,284,3
30137503012,,$21.00 ,,285,170
30711577499,very good,$4.69 ,,286,1072
1960367911,very good,$1.00 ,,287,
30573251856,good,$15.49 ,,288,
30743477989,good,$5.92 ,,289,
30196014724,good,$19.95 ,fair,290,171
30737293692,good,$4.00 ,,291,
30704999104,very good,$3.98 ,,292,172
4818056145,,$5.00 ,,293,173
30723751050,,$6.06 ,,294,174
30717417732,fair,$6.49 ,,295,104
30725912905,good,$21.99 ,,296,
30696231202,new,$51.45 ,,297,175
30272458924,new,$41.10 ,,298,
30247698777,good,$5.35 ,,299,
1302998503,very good,$15.00 ,good,300,176
30267959290,new,$37.53 ,,301,
2795338714,good,$6.00 ,,302,2
21778647822,good,$2.65 ,,303,2
30137537842,,$34.00 ,,304,177
30699234738,very good,$3.98 ,,305,178
13775122406,good,$25.00 ,,306,179
1173875456,,$1.00 ,,307,180
30152958171,fair,$5.99 ,,308,86
30749579524,good,$25.00 ,good,309,181
30723005572,good,,,310,182
59774732,good,$15.00 ,very good,311,183
30137481206,,$7.00 ,,312,184
30549198023,,$16.25 ,,313,
30361293933,very good,$5.95 ,,314,185
30367742933,good,$3.61 ,,315,169
30711004495,good,$2.59 ,,316,20
21815712871,,$3.98 ,,317,186
10809012555,good,$7.00 ,very good,318,187
20255302976,,$11.00 ,,319,188
19176555837,very good,$18.14 ,,320,189
11484784088,good,$15.00 ,,321,1072
30408501711,good,$5.99 ,,322,190
30665138860,,$7.95 ,,323,191
30537882309,,$5.00 ,,324,192
11230005921,very good,$14.75 ,very good,325,193
30641107562,good,$4.19 ,,326,194
30612308762,good,$3.80 ,,327,1072
1332186599,good,$7.00 ,,328,195
30219324066,good,$3.80 ,,329,1072
30240773316,good,$5.00 ,,330,196
2808967626,fair,$1.50 ,,331,197
16601861016,good,$3.98 ,,332,198
30627202852,new,$30.59 ,,333,199
30449762981,very good,$4.00 ,,334,200
8287033199,,$4.00 ,,335,201
30698862500,good,$3.98 ,,336,202
30443549242,good,$6.19 ,,337,203
30317299379,,$13.31 ,,338,204
30220749798,very good,$8.00 ,very good,339,205
30081841788,good,$5.96 ,,340,206
30211999832,good,$6.55 ,,341,207
30380185734,very good,$20.00 ,good,342,208
22786083983,good,$9.09 ,,343,
30268660201,new,$43.16 ,,344,
30728311263,good,$3.25 ,,345,20
30738770497,new,$4.00 ,,346,
21303620300,good,$7.95 ,,347,151
30574893008,very good,$4.71 ,,348,209
30137478272,,$7.00 ,,349,1072
30724605991,,$30.00 ,,350,210
30697482032,good,$22.68 ,,351,211
30423330766,,$11.66 ,,352,212
30455054143,poor,$4.19 ,,353,213
1189096663,good,$1.99 ,,354,214
30709623518,fair,$6.35 ,,355,215
17696362080,,$9.95 ,,356,216
30747905988,good,,,357,20
30739507889,good,$5.09 ,,358,1072
30623672915,,$15.05 ,,359,217
30107584278,very good,$6.22 ,,360,39
30695379950,fair,$24.45 ,,361,218
30693780549,good,$3.95 ,,362,25
30666029271,good,$3.60 ,,363,219
9841085388,good,$19.90 ,,364,220
22870036444,fair,$8.99 ,,365,221
30037646311,good,,,366,222
30734796063,fair,$3.79 ,,367,182
30699617283,very good,$3.69 ,,368,223
30739366106,good,$5.17 ,,369,
10143453335,,$10.00 ,,370,224
30388205260,very good,$30.00 ,very good,371,96
20786306689,fair,$5.46 ,,372,225
22655464749,,$4.95 ,,373,20
30265140479,new,$42.57 ,,374,
30697976951,very good,$9.95 ,,375,2
30740102781,good,$4.00 ,,376,
30037829003,good,$16.94 ,,377,158
30310719495,,$3.50 ,,378,20
30610906983,new,$12.77 ,,379,226
17113280935,,$5.52 ,,380,227
30737755197,very good,$5.11 ,,381,
22413833850,very good,$24.00 ,,382,228
30740302761,good,$4.70 ,,383,35
30512664529,new,$24.85 ,,384,229
18881098334,good,$6.49 ,,385,230
30741076802,very good,$5.41 ,,386,231
30610813171,new,$9.97 ,,387,232
30297674658,good,$3.51 ,,388,233
14461306502,,$5.27 ,,389,234
30264707718,new,$29.48 ,,390,
30265656701,new,$38.42 ,,391,
30137568612,,$14.00 ,,392,105
18354419443,,$7.00 ,,393,66
30564861907,good,$3.80 ,,394,25
69200906,,$7.50 ,,395,2
887444363,,$24.00 ,,396,235
22446180899,good,$5.00 ,,397,236
30687840922,,,,398,1072
22665761599,very good,$5.50 ,,399,237
30503773406,good,$3.34 ,,400,2
14387395892,good,$5.15 ,,401,238
30575183071,very good,$4.55 ,,402,239
14760079735,good,$1.88 ,,403,20
30128892406,good,$5.50 ,,404,104
9129035422,,$35.18 ,very good,405,240
1167839056,very good,$6.00 ,,406,2
30268990770,new,$22.64 ,,407,
30616155790,very good,$6.39 ,,408,
30271300060,new,$42.87 ,,409,
30718318090,very good,$3.61 ,,410,241
1276326196,good,$1.85 ,,411,20
30663647828,good,$4.54 ,,412,1072
11672098347,good,$25.00 ,,413,242
30138198842,good,$4.19 ,,414,243
733629620,fair,$5.00 ,,415,244
22832680654,,$2.99 ,,416,245
30081968584,good,$6.48 ,,417,10
30508728017,,$19.13 ,,418,
30592961305,fair,$10.49 ,,419,132
22505002886,very good,$4.48 ,,420,10
22864299824,very good,$3.99 ,,421,246
20901949556,very good,$2.50 ,,422,247
30223640558,very good,$7.95 ,,423,248
30737477296,good,$4.38 ,,424,39
4438884576,very good,$5.76 ,,425,249
22903503869,,$18.14 ,,426,
30560226658,very good,$3.99 ,,427,250
30265656702,new,$34.85 ,,428,
30716039028,good,$4.53 ,,429,
30608064210,good,$14.27 ,,430,251
30526715675,very good,$5.00 ,,431,66
30697725272,very good,$4.19 ,,432,54
22920435840,very good,$10.00 ,very good,433,185
18059780116,new,$11.21 ,,434,1072
30467346924,,$5.91 ,,435,252
30429627216,very good,$5.99 ,,436,35
30519370763,,$6.50 ,,437,66
30739093721,good,$4.98 ,,438,
30137524497,,$33.00 ,,439,2
30720535119,good,$5.29 ,,440,161
30695691023,good,$4.26 ,,441,253
30492338849,very good,$16.39 ,,442,254
2668030251,good,$14.00 ,,443,255
9393539241,good,$8.95 ,,444,151
30635726921,fair,$1.00 ,,445,256
30536795653,new,$11.06 ,,446,257
13242169842,,$11.60 ,,447,258
30699210314,good,$4.26 ,,448,259
30611095641,new,$22.02 ,,449,260
30631549724,new,$13.66 ,,450,261
30081528101,good,,,451,262
96728547,,$11.97 ,,452,263
9994028217,good,$7.50 ,,453,264
30452707454,very good,$6.49 ,,454,42
30331447564,very good,$8.40 ,,455,265
30551096218,,$13.27 ,,456,266
30575356422,good,$4.19 ,,457,267
30740332284,good,$4.70 ,,458,
22561590994,good,$10.50 ,,459,268
30262334579,new,$18.62 ,,460,269
30645418748,good,$20.00 ,,461,270
30744590446,good,,,462,271
30519830708,very good,$4.31 ,,463,272
19559446,,$12.50 ,,464,273
30690941775,very good,$3.60 ,,465,274
7195463142,fair,$5.88 ,,466,275
30584465208,good,$4.00 ,,467,276
30632190818,very good,$4.19 ,,468,246
30699596227,good,$3.98 ,,469,276
30336147779,good,$8.31 ,,470,277
20561629548,good,$4.19 ,,471,20
30560237127,very good,$13.82 ,,472,150
3065816212,very good,$8.00 ,,473,1072
22665761594,,$8.99 ,,474,115
30711911351,very good,$4.19 ,,475,274
12989079999,good,$5.99 ,,476,2
30744100669,good,$5.10 ,,477,278
7204212085,good,$4.60 ,,478,279
20763549628,good,$11.97 ,,479,280
30315259206,good,$2.99 ,,480,2
30618449371,very good,$4.19 ,,481,1072
21838804627,,$15.00 ,,482,281
30575376123,good,$3.61 ,,483,223
22903497230,,$1.00 ,,484,
30657354415,good,$3.80 ,,485,282
30327696752,new,$10.42 ,,486,
20167376980,,$32.50 ,,487,
30127701519,good,$11.45 ,,488,283
30331824529,fair,$28.95 ,,489,284
30350286961,,$24.38 ,,490,
22643675978,good,$3.98 ,,491,285
30739281775,good,$4.98 ,,492,35
208647507,good,$54.00 ,,493,286
30699636526,good,$3.98 ,,494,287
30718304854,very good,$6.24 ,,495,241
401064106,good,$6.00 ,,496,
30038764305,good,$2.95 ,,497,2
30699107842,good,$3.94 ,,498,1072
30614464357,,$169.88 ,,499,
30444237425,good,$35.00 ,,500,288
30278214662,new,$5.78 ,,501,
744381506,fair,$1.00 ,,502,289
3486692753,,$1.50 ,,503,290
30699607140,good,$3.51 ,,504,291
30739909979,good,$5.71 ,,505,35
30171796156,good,$4.18 ,,506,178
30688491824,very good,$4.49 ,,507,182
30407664192,good,$5.48 ,,508,292
936183263,good,$4.67 ,,509,293
30603251266,very good,$10.00 ,,510,294
22618053029,,$3.00 ,,511,295
14781987053,very good,$15.00 ,,512,296
22790827045,very good,$20.00 ,,513,297
30718198751,very good,$26.54 ,,514,298
30097124362,very good,$8.50 ,,515,299
16933703021,good,$1.00 ,good,516,300
30573253743,good,$14.48 ,,517,
22912234499,good,$7.49 ,,518,2
30573818208,,$47.00 ,,519,
22844622385,,$8.00 ,,520,301
30733482713,good,$23.45 ,,521,218
30708525922,good,$9.93 ,,522,302
30663995331,good,$8.00 ,,523,303
18592289238,,$10.00 ,,524,304
30427437327,very good,$24.87 ,,525,1072
30738820534,good,$9.43 ,,526,
30120915052,very good,$4.25 ,,527,305
30451867865,very good,$8.46 ,,528,306
30617153652,good,$3.00 ,,529,172
30279070323,very good,$4.27 ,,530,307
30557455949,,$1.00 ,,531,
332500200,good,$7.00 ,,532,308
30644524153,fair,$6.29 ,,533,309
22574614745,,$4.00 ,,534,310
18817841822,fair,$22.50 ,,535,311
988184408,,$17.60 ,,536,312
22832596608,,,,537,313
17224495014,very good,$20.00 ,very good,538,314
30396297462,good,$3.98 ,,539,178
20836404026,,$3.00 ,,540,20
8750025355,good,$125.00 ,,541,315
30035583277,,$10.00 ,,542,316
372101494,,$3.75 ,,543,317
30252606551,good,$12.00 ,,544,20
30731346808,good,$4.34 ,,545,318
30699465836,good,$3.98 ,,546,319
30665810940,very good,$12.00 ,,547,320
22849748471,,$4.99 ,,548,321
30548474487,very good,$5.19 ,,549,322
30265798621,new,$33.34 ,,550,
15214784236,good,$5.25 ,,551,74
30455557752,good,$4.47 ,,552,2
30517743453,good,$3.18 ,,553,323
30137470431,,$8.00 ,,554,2
30697802744,good,$3.69 ,,555,2
14624563746,good,$5.20 ,,556,2
30733433437,good,$4.00 ,,557,324
17841460782,,$25.00 ,,558,325
30699590849,very good,$3.98 ,,559,326
30656595127,very good,,,560,241
22414932296,very good,$1.00 ,,561,48
30651729029,fair,$3.60 ,,562,327
5467327846,good,$3.50 ,,563,20
30650143310,good,$3.00 ,,564,2
174123078,good,$16.50 ,,565,328
30231752057,fair,$4.55 ,,566,329
30210813419,good,$3.69 ,,567,2
30359727277,fair,$19.95 ,,568,20
1428828955,good,$1.50 ,,569,2
22396068331,fair,$6.49 ,,570,330
30734269861,fair,$4.77 ,,571,182
30708388698,very good,$4.19 ,,572,114
21435012672,fair,$13.12 ,,573,331
30264424954,very good,$3.69 ,,574,332
30271636535,new,$42.87 ,,575,
30619188959,good,$2.00 ,,576,
21989645123,,$7.00 ,,577,310
5709075622,,$25.00 ,,578,333
30580856790,,$3.25 ,,579,334
30727955385,good,$3.98 ,,580,335
30722925006,very good,$4.19 ,,581,1072
30109825679,good,,,582,336
30577466750,very good,$3.99 ,,583,75
30739039039,good,$4.55 ,,584,35
10634213556,,$10.00 ,,585,337
30724454461,,$39.98 ,,586,338
22543314165,,$3.55 ,,587,32
22413816038,very good,$25.00 ,,588,339
6281847943,good,$15.00 ,,589,340
18356462011,fair,$10.91 ,,590,341
30305435577,good,$20.00 ,,591,342
30734728448,good,$5.58 ,,592,343
30709735179,good,$6.35 ,,593,20
30697328697,very good,$4.57 ,,594,241
30738960471,good,$4.00 ,,595,
30699286058,good,$8.17 ,,596,344
30689007217,good,$3.98 ,,597,249
30046197905,good,$2.50 ,,598,20
30137477805,,$7.00 ,,599,345
14094264197,fair,$3.50 ,,600,346
30629068276,new,$40.84 ,,601,347
30731097466,poor,$4.69 ,,602,25
30607332863,good,$4.19 ,,603,79
22862772844,,$10.00 ,,604,348
30724603773,good,$3.61 ,,605,25
30230904477,very good,$9.33 ,good,606,349
30739713862,good,$4.70 ,,607,350
30728260211,good,$1.00 ,,608,169
30049240809,good,$6.12 ,,609,241
30688945248,very good,$3.85 ,,610,243
30669033753,good,$2.00 ,,611,249
30650033577,very good,$7.19 ,,612,151
30012150326,good,$5.99 ,,613,351
1157181464,,$1.00 ,,614,104
30602639459,very good,$15.00 ,,615,63
30264450895,,$5.95 ,,616,151
30737581156,good,$4.00 ,,617,
2845020490,,$8.00 ,,618,352
30669039982,good,$1.45 ,,619,20
30343910155,very good,$6.43 ,,620,2
22773182451,,$4.25 ,,621,66
18584675456,,$5.00 ,,622,353
22899483069,good,$7.37 ,,623,151
16426233795,,$33.27 ,,624,354
30571085212,fair,$9.95 ,,625,355
30282669014,,$3.00 ,,626,356
8068292423,,$17.50 ,very good,627,357
30310726915,very good,$2.99 ,,628,20
941021824,good,$9.00 ,,629,20
30699460396,good,$4.46 ,,630,79
30740240668,good,$5.70 ,,631,358
1189938012,,$7.50 ,,632,359
30465560756,good,$4.19 ,,633,360
13518434237,very good,$7.50 ,,634,361
30306098271,very good,$3.69 ,,635,362
30549457625,very good,$4.50 ,,636,249
30698073958,very good,$3.98 ,,637,1072
1229370967,very good,$6.64 ,,638,363
30341594685,good,$2.83 ,,639,
30645261991,very good,$4.50 ,,640,2
10345263742,,$7.00 ,good,641,364
22413529671,very good,$25.00 ,,642,339
30740310873,good,$16.50 ,,643,365
30308963798,,$14.42 ,,644,366
30337235707,fair,$6.23 ,,645,231
30738963155,good,$4.46 ,,646,
9126714053,very good,$7.25 ,very good,647,367
30598692738,good,$2.59 ,,648,343
30643746337,new,$9.79 ,,649,
30137482110,,$8.00 ,,650,20
30713312479,good,$3.98 ,,651,368
242855190,,$1.50 ,,652,369
30357111963,very good,$20.00 ,,653,370
30734270760,fair,$3.93 ,,654,182
30605454533,,$15.00 ,,655,371
1958318699,good,$17.89 ,,656,2
1157901907,,$4.00 ,,657,2
30330554660,very good,$7.54 ,,658,74
30137479596,,$8.00 ,,659,372
22420042428,,$5.00 ,,660,124
30093652186,good,$4.00 ,,661,2
30704187229,,$5.57 ,fair,662,373
12070838690,very good,$13.27 ,very good,663,374
30699581663,very good,$6.94 ,,664,375
30644930295,good,$4.07 ,,665,169
30575717889,good,$25.00 ,,666,376
30487942690,good,$3.74 ,,667,306
30660208730,good,$2.99 ,,668,20
30275929196,good,$3.24 ,,669,
30282667972,,$15.00 ,fair,670,377
22844627902,,$2.00 ,,671,20
30280716015,very good,$3.69 ,,672,378
3401872846,fair,$104.16 ,,673,22
1271852724,very good,$5.00 ,,674,293
30750290164,new,$5.99 ,,675,379
22485404304,,$4.98 ,,676,380
30699607199,very good,$3.98 ,,677,231
10107176741,,$30.00 ,,678,381
20098125515,very good,$22.50 ,,679,118
30176097287,,$12.95 ,,680,382
30734675343,,$3.25 ,,681,20
10634213567,,$20.00 ,,682,383
947110148,good,$30.00 ,,683,20
22414932201,fair,$1.00 ,,684,384
30733582226,good,$4.00 ,,685,
30110390901,good,,,686,10
30042015887,good,$1.00 ,,687,
30731166952,very good,$12.00 ,,688,2
30743799149,very good,$5.57 ,,689,249
30617590604,good,$3.02 ,,690,385
30114331307,very good,$10.00 ,good,691,386
30715374093,very good,$9.24 ,,692,387
30643303028,very good,$3.98 ,,693,79
60883878,,$22.00 ,,694,388
30631305067,new,$16.33 ,,695,2
30737557303,good,$4.00 ,,696,389
30697854779,good,$4.19 ,,697,390
30604711648,good,$2.80 ,,698,20
30667320412,good,$2.50 ,,699,20
397777360,very good,$7.00 ,,700,391
30310723061,good,$3.50 ,,701,20
30608592108,good,$6.06 ,,702,392
19084570205,good,$8.99 ,,703,393
18457810512,,$10.00 ,,704,2
1042246748,,$7.50 ,,705,334
1008300612,,$5.75 ,,706,20
544738311,,$17.00 ,,707,394
417289862,very good,$8.75 ,,708,395
30666177659,good,$5.79 ,,709,1072
316920310,very good,$7.75 ,,710,396
30540334680,,$28.95 ,,711,397
30137464447,,$23.00 ,,712,398
30441745879,good,$7.48 ,,713,249
30709883822,good,$3.74 ,,714,169
14883183389,very good,$14.57 ,,715,8
30731407417,good,$6.95 ,,716,399
30162330579,,$22.50 ,,717,381
30605256010,good,$7.32 ,,718,400
30551329046,good,$2.99 ,,719,2
30217004123,very good,$8.99 ,,720,37
30291741798,,$16.94 ,,721,401
17116511336,,$3.03 ,,722,402
30725407017,good,$1.05 ,,723,
22848025857,,$5.95 ,,724,20
30588909382,new,$9.56 ,,725,101
30747195415,fair,$5.08 ,,726,4
14831130684,,$5.83 ,,727,2
18310960596,,$6.16 ,,728,403
22745556192,,$20.00 ,,729,118
30699658999,,$3.98 ,,730,404
30563827866,good,$7.07 ,,731,405
22903762228,good,$15.48 ,,732,1072
30687490095,good,$11.12 ,,733,406
618303378,very good,$25.00 ,good,734,407
30162462378,fair,$4.00 ,,735,408
30630089657,good,$7.96 ,,736,10
30752042137,good,$7.37 ,,737,151
30386094182,very good,$3.29 ,,738,409
